State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Date,Price
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.16,5500,6000,6000,16-09-2024,57.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.17,5000,5500,5500,15-09-2024,52.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.18,3000,3500,3500,26-07-2024,32.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.18,3200,3800,3800,31-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.18,3800,4500,4500,06-09-2024,41.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.18,5000,5500,5500,20-09-2024,52.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.18,5500,6000,6000,17-09-2024,57.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.19,3000,4000,4000,15-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.19,3800,4500,4500,18-08-2024,41.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,3500,3500,08-09-2024,32.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,3500,3500,24-08-2024,32.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,3500,3500,27-08-2024,32.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,4000,4000,07-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,4000,4000,11-09-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,4000,4000,14-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3600,3600,17-08-2024,34
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3600,3600,25-08-2024,34
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3800,3800,05-09-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3800,3800,23-07-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3800,3800,28-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3800,3800,30-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3400,3800,3800,09-09-2024,36
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3500,4000,4000,26-08-2024,37.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3500,4500,4500,31-07-2024,40
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3600,4200,4200,11-08-2024,39
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,4000,4500,4500,19-08-2024,42.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,4000,5000,5000,29-07-2024,45
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,4200,4800,4800,10-09-2024,45
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,4800,5200,5200,30-07-2024,50
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,5000,5500,5500,12-09-2024,52.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,5000,5500,5500,19-09-2024,52.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,5200,5800,5800,13-09-2024,55
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,3000,3500,3500,20-07-2024,32.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,3000,4000,4000,12-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,3000,4000,4000,13-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,3200,3600,3600,21-08-2024,34
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,3200,3800,3800,04-09-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,3200,3800,3800,22-07-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,3200,3800,3800,23-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,3500,4000,4000,01-09-2024,37.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,3500,4000,4000,02-08-2024,37.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,3500,4000,4000,28-07-2024,37.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,4000,4500,4500,07-09-2024,42.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,4000,4500,4500,20-08-2024,42.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,4000,4500,4500,24-07-2024,42.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,4000,5000,5000,29-08-2024,45
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,4800,5500,5500,03-09-2024,51.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,5000,5500,5500,22-09-2024,52.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,5000,6000,6000,18-09-2024,55
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,5200,5800,5800,24-09-2024,55
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.21,5500,6000,6000,23-09-2024,57.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.22,3000,4000,4000,06-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.22,3400,3800,3800,09-08-2024,36
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.22,3500,4000,4000,08-08-2024,37.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.22,3500,4500,4500,01-08-2024,40
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.22,4000,4500,4500,04-08-2024,42.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.22,5000,5500,5500,14-09-2024,52.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.23,3000,3500,3500,16-08-2024,32.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.23,3000,4000,4000,03-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.23,3000,4000,4000,10-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.23,3400,3800,3800,02-09-2024,36
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.23,3600,4200,4200,22-08-2024,39
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.23,4000,5000,5000,25-07-2024,45
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.24,3000,4000,4000,21-07-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.24,4000,4500,4500,05-08-2024,42.5
